,Date,Time,S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
0,12/22/2017,10:49:41,24.94,24.75,24.56,25.38,121,34,53,40,0.08,0.05643891291448484,0.06,0.06,390.0,0.769230769,0,0,1
1,12/22/2017,10:50:12,24.94,24.75,24.56,25.44,121,33,53,40,0.1410713905734653,0.05,0.06,0.06,390.0,0.646153846,0,0,1
2,12/22/2017,10:50:42,25.0,24.75,24.5,25.44,121,34,53,40,0.1410713905734653,0.05643891291448484,0.08,0.06,390.0,0.519230769,0,0,1
3,12/22/2017,10:51:13,25.0,24.75,24.56,25.44,121,34,53,40,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09,390.0,0.388461538,0,0,1
4,12/22/2017,10:51:44,25.0,24.75,24.56,25.44,121,34,54,40,0.1410713905734653,0.06,0.06,0.06,390.0,0.253846154,0,0,1
5,12/22/2017,10:52:14,25.0,24.81,24.56,25.44,121,34,54,40,0.1410713905734653,0.06,0.06,0.07,390.0,0.165384615,0,0,1
6,12/22/2017,10:52:45,25.0,24.75,24.56,25.44,120,34,54,40,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.06,390.0,0.076923077,1,0,1
7,12/22/2017,10:53:15,25.0,24.81,24.56,25.44,121,34,54,41,0.09,0.06,0.06866091360926825,0.05,390.0,-0.011538462,0,0,1
8,12/22/2017,10:53:46,25.0,24.81,24.56,25.5,122,35,56,43,0.09,0.05,0.06,0.13,390.0,-0.1,0,0,1
9,12/22/2017,10:54:17,25.0,24.81,24.56,25.5,101,34,57,43,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09549420151079904,390.0,-0.188461538,1,1,1
10,12/22/2017,10:54:47,25.06,24.81,24.56,25.44,122,35,57,43,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09549420151079904,390.0,-0.276923077,1,1,1
11,12/22/2017,10:55:18,25.06,24.81,24.56,25.5,123,35,57,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09,390.0,-0.365384615,1,0,1
12,12/22/2017,10:55:49,25.06,24.88,24.63,25.5,123,35,57,43,0.1410713905734653,0.05643891291448484,0.07,0.06,390.0,-0.453846154,1,0,1
13,12/22/2017,10:56:19,25.06,24.81,24.63,25.56,123,35,57,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09,390.0,-0.542307692,1,0,1
14,12/22/2017,10:56:50,25.06,24.88,24.63,25.56,123,35,58,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.13,390.0,-0.630769231,1,0,1
15,12/22/2017,10:57:21,25.06,24.88,24.63,25.56,123,35,58,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.06,390.0,-0.719230769,1,0,1
16,12/22/2017,10:57:51,25.06,24.88,24.63,25.56,122,35,58,44,0.1410713905734653,0.05,0.06866091360926825,0.05,395.0,-0.711538462,0,0,1
17,12/22/2017,10:58:22,25.06,24.81,24.63,25.56,122,35,57,44,0.1410713905734653,0.07,0.07,0.05,395.0,-0.653846154,1,0,1
18,12/22/2017,10:58:52,25.06,24.81,24.63,25.56,123,35,58,44,0.1410713905734653,0.07,0.08,0.06,395.0,-0.542307692,1,0,1
19,12/22/2017,10:59:23,25.06,24.88,24.63,25.5,123,35,58,45,0.1410713905734653,0.06,0.06,0.06,395.0,-0.373076923,0,0,1
20,12/22/2017,10:59:54,25.13,24.88,24.63,25.5,123,35,58,44,0.1410713905734653,0.04,0.06,0.06,390.0,-0.238461538,0,0,1
21,12/22/2017,11:00:24,25.06,24.88,24.63,25.56,123,35,57,44,0.1410713905734653,0.05,0.06,0.06,395.0,-0.092307692,0,0,1
22,12/22/2017,11:00:55,25.13,24.88,24.63,25.56,123,35,58,45,0.1410713905734653,0.05,0.06,0.06,395.0,0.061538462,0,0,1
23,12/22/2017,11:01:26,25.13,24.88,24.63,25.56,123,35,58,45,0.1410713905734653,0.05643891291448484,0.08,0.07,400.0,0.319230769,0,0,1
24,12/22/2017,11:01:56,25.13,24.88,24.63,25.5,124,35,59,45,0.1410713905734653,0.05643891291448484,0.06,0.06,400.0,0.334615385,0,0,1
25,12/22/2017,11:02:27,25.13,24.88,24.69,25.5,123,35,58,45,0.1410713905734653,0.05643891291448484,0.07,0.14,400.0,0.388461538,1,0,1
26,12/22/2017,11:02:58,25.13,24.88,24.69,25.5,123,35,59,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.07,405.0,0.480769231,1,0,1
27,12/22/2017,11:03:28,25.13,24.88,24.69,25.56,123,35,58,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09,410.0,0.607692308,1,0,1
28,12/22/2017,11:03:59,25.13,24.88,24.69,25.56,123,35,58,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.07,410.0,0.719230769,1,0,1
29,12/22/2017,11:04:29,25.13,24.88,24.69,25.56,123,35,58,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.16,405.0,0.769230769,1,0,1
30,12/22/2017,11:05:00,25.19,24.88,24.69,25.56,123,35,58,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.06,405.0,0.807692308,0,0,1
31,12/22/2017,11:05:31,25.19,24.88,24.69,25.56,123,35,58,45,0.08,0.05643891291448484,0.07,0.06,400.0,0.788461538,0,0,1
32,12/22/2017,11:06:01,25.19,24.88,24.69,25.56,123,35,58,44,0.09,0.05,0.07,0.08,410.0,0.853846154,1,0,1
33,12/22/2017,11:06:32,25.19,24.88,24.69,25.56,123,35,58,44,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.05,410.0,0.903846154,0,0,1
34,12/22/2017,11:07:03,25.19,24.88,24.69,25.69,122,35,59,44,0.08,0.06,0.06,0.06,405.0,0.892307692,0,0,1
35,12/22/2017,11:07:33,25.19,24.88,24.69,25.63,122,35,58,44,0.1410713905734653,0.05,0.06,0.14,410.0,0.915384615,0,0,1
36,12/22/2017,11:08:04,25.19,24.88,24.69,25.63,123,35,57,44,0.07,0.05643891291448484,0.06,0.06,410.0,0.923076923,0,0,1
37,12/22/2017,11:08:35,25.19,24.94,24.69,25.56,123,35,58,44,0.07,0.05,0.05,0.06,415.0,0.961538462,0,0,1
38,12/22/2017,11:09:05,25.19,24.88,24.69,25.56,123,35,58,44,0.08,0.05,0.05,0.06,420.0,1.026923077,0,0,1
39,12/22/2017,11:09:36,25.19,24.94,24.69,25.56,123,35,57,43,0.08,0.05,0.06,0.06,425.0,1.115384615,0,0,1
40,12/22/2017,11:10:06,25.19,24.94,24.75,25.56,123,35,57,44,0.1410713905734653,0.06,0.06866091360926825,0.13,425.0,1.176923077,0,0,1
41,12/22/2017,11:10:37,25.19,24.94,24.69,25.63,123,35,59,45,0.08,0.05643891291448484,0.06866091360926825,0.07,420.0,1.215384615,0,0,1
42,12/22/2017,11:11:08,25.19,24.94,24.75,25.63,123,36,59,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.06,420.0,1.234615385,0,0,1
43,12/22/2017,11:11:38,25.19,24.94,24.69,25.63,123,35,59,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.11,420.0,1.234615385,1,0,1
44,12/22/2017,11:12:09,25.19,24.88,24.69,25.63,123,35,59,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09,420.0,1.215384615,0,0,1
45,12/22/2017,11:12:40,25.19,24.94,24.75,25.63,124,35,60,46,0.1410713905734653,0.05,0.06,0.06,425.0,1.173076923,0,0,1
46,12/22/2017,11:13:10,25.19,24.94,24.75,25.63,124,36,61,47,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.09,430.0,1.2,0,0,1
47,12/22/2017,11:13:41,25.25,24.94,24.75,25.63,124,36,61,46,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.13,430.0,1.2,1,0,1
48,12/22/2017,11:14:12,25.25,24.94,24.75,25.63,124,36,61,46,0.1410713905734653,0.06,0.05,0.06,435.0,1.269230769,0,0,1
49,12/22/2017,11:14:42,25.25,24.94,24.75,25.56,124,36,60,46,0.09,0.05,0.06,0.06,425.0,1.219230769,0,0,1
50,12/22/2017,11:15:13,25.25,24.94,24.75,25.69,123,35,59,45,0.1410713905734653,0.05,0.07,0.06,425.0,1.15,0,0,1
51,12/22/2017,11:15:43,25.25,24.94,24.75,25.63,123,35,59,45,0.07,0.07,0.05,0.07,420.0,1.065384615,0,0,1
52,12/22/2017,11:16:14,25.25,24.94,24.75,25.63,124,36,60,46,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.08,420.0,1.019230769,1,0,1
53,12/22/2017,11:16:45,25.25,24.94,24.75,25.63,123,35,60,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.07,420.0,0.965384615,0,0,1
54,12/22/2017,11:17:15,25.25,24.94,24.75,25.69,123,35,60,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.08,430.0,0.946153846,1,0,1
55,12/22/2017,11:17:46,25.25,24.94,24.75,25.69,123,35,60,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.06,435.0,0.953846154,0,0,1
56,12/22/2017,11:18:17,25.25,24.94,24.81,25.63,123,35,59,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.1,430.0,0.842307692,0,0,1
57,12/22/2017,11:18:47,25.25,24.94,24.75,25.63,123,35,60,45,0.1410713905734653,0.05643891291448484,0.06866091360926825,0.06,445.0,0.946153846,0,0,1
58,12/22/2017,11:19:18,25.25,24.94,24.75,25.56,123,35,59,45,0.1410713905734653,0.05,0.06,0.07,440.0,0.976923077,0,0,1
